hero,pos,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
centaur,pos1,"[0.73, 0.27, 0]","[0.38, 0.62, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
centaur,pos2,"[0.6, 0.4, 0]","[0, 0.57, 0.43]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.85, 0.15]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
centaur,pos3,"[0.38, 0.62, 0]","[0, 0.59, 0.41]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.84, 0.16]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
centaur,pos4,"[0, 0.95, 0.05]","[0, 0.32, 0.68]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.83, 0.17]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
centaur,pos5,"[0, 0.93, 0.07]","[0, 0.31, 0.69]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.82, 0.18]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
weaver,pos1,"[0.1, 0.9, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
weaver,pos2,"[0, 0.91, 0.09]","[0.04, 0.96, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.72, 0.28]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
weaver,pos3,"[0, 0.77, 0.23]","[0.08, 0.92, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.71, 0.29]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
weaver,pos4,"[0, 0.28, 0.72]","[0, 0.56, 0.44]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.7, 0.3]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
weaver,pos5,"[0, 0.03, 0.97]","[0, 0.54, 0.46]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.69, 0.31]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
warlock,pos1,"[0, 0.95, 0.05]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
warlock,pos2,"[0, 0.8, 0.2]","[0.39, 0.61, 0]","[0, 0.14, 0.86]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
warlock,pos3,"[0, 0.63, 0.37]","[0.37, 0.63, 0]","[0, 0.12, 0.88]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
warlock,pos4,"[0, 0.05, 0.95]","[0, 0.63, 0.37]","[0, 0.07, 0.93]","[0, 0, 1]","[0, 0, 1]","[0, 0.88, 0.12]","[0, 0.47, 0.53]","[0, 0, 1]","[0, 0, 1]"
warlock,pos5,"[0, 0, 1]","[0, 0.6, 0.4]","[0, 0.06, 0.94]","[0, 0, 1]","[0, 0, 1]","[0, 0.87, 0.13]","[0, 0.43, 0.57]","[0, 0, 1]","[1, 0, 0]"
oracle,pos1,"[0.73, 0.27, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
oracle,pos2,"[0.61, 0.39, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
oracle,pos3,"[0.39, 0.61, 0]","[1, 0, 0]","[0, 0.34, 0.66]","[0, 0.22, 0.78]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
oracle,pos4,"[0, 0.96, 0.04]","[0, 0.8, 0.2]","[0, 0.19, 0.81]","[0, 0.2, 0.8]","[0, 0, 1]","[1, 0, 0]","[0, 0.45, 0.55]","[1, 0, 0]","[1, 0, 0]"
oracle,pos5,"[0, 0.94, 0.06]","[0, 0.77, 0.23]","[0, 0.18, 0.82]","[0, 0.2, 0.8]","[0, 0, 1]","[1, 0, 0]","[0, 0.41, 0.59]","[1, 0, 0]","[1, 0, 0]"
skywrath_mage,pos1,"[0.42, 0.58, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
skywrath_mage,pos2,"[0.19, 0.81, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
skywrath_mage,pos3,"[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]"
skywrath_mage,pos4,"[0, 0.62, 0.38]","[0, 0.92, 0.08]","[0, 0.38, 0.62]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0.43, 0.57]","[0, 0, 1]","[0, 0, 1]"
skywrath_mage,pos5,"[0, 0.49, 0.51]","[0, 0.88, 0.12]","[0, 0.35, 0.65]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0.39, 0.61]","[0, 0, 1]","[0, 0, 1]"
axe,pos1,"[1, 0, 0]","[0.56, 0.44, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
axe,pos2,"[0.96, 0.04, 0]","[0, 0.66, 0.34]","[0, 0.26, 0.74]","[0, 0, 1]","[0, 0, 1]","[0, 0.79, 0.21]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
axe,pos3,"[0.72, 0.28, 0]","[0, 0.67, 0.33]","[0, 0.22, 0.78]","[0, 0, 1]","[0, 0, 1]","[0, 0.79, 0.21]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
axe,pos4,"[0.48, 0.52, 0]","[0, 0.37, 0.63]","[0, 0.12, 0.88]","[0, 0, 1]","[0, 0, 1]","[0, 0.77, 0.23]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
axe,pos5,"[0.5, 0.5, 0]","[0, 0.35, 0.65]","[0, 0.11, 0.89]","[0, 0, 1]","[0, 0, 1]","[0, 0.76, 0.24]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
tinker,pos1,"[0.58, 0.42, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
tinker,pos2,"[0.41, 0.59, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
tinker,pos3,"[0.2, 0.8, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
tinker,pos4,"[0, 0.8, 0.2]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
tinker,pos5,"[0, 0.72, 0.28]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.93, 0.07]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
dazzle,pos1,"[0.7, 0.3, 0]","[0.59, 0.41, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
dazzle,pos2,"[0.57, 0.43, 0]","[0, 0.68, 0.32]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.83, 0.17]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
dazzle,pos3,"[0.35, 0.65, 0]","[0, 0.69, 0.31]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.82, 0.18]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
dazzle,pos4,"[0, 0.92, 0.08]","[0, 0.38, 0.62]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.81, 0.19]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
dazzle,pos5,"[0, 0.89, 0.11]","[0, 0.36, 0.64]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0.8, 0.2]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
